evaluation;random_seed;temperature_before;temperature_after;action;move_text;swap_i;swap_j;move_from;move_to;reverse_start;reverse_end;reinsert_block_start;reinsert_block_end;reinsert_block_to;swap_blocks_start1;swap_blocks_end1;swap_blocks_start2;swap_blocks_end2;current_makespan_before;candidate_makespan;delta_vs_current;acceptance_probability;acceptance_random_draw;accepted;acceptance_reason;current_makespan_after;global_best_makespan_after;new_global_best;completed_simulations;exited_parts;completion_valid;simulation_time_sec;sa_decision_time_sec;inference_time_sec;cumulative_simulation_time_sec;cumulative_sa_decision_time_sec;elapsed_optimization_time_sec;status;error_message;final_best_sequence
1;1576713022;100.0;99.9;reinsert_block;reinsert_block(51 .. 53 -> 55);;;;;;;51;53;55;;;;;16641.404845676683;16531.928629423102;-109.47621625358079;1.0;;True;ImprovedOrEqualCurrentSolution;16531.928629423102;16531.928629423102;True;2;64;True;0.637924;8.9e-05;0.0;0.637924;8.9e-05;0.6383;Evaluated;;
2;1576713022;99.9;99.8001;move;move(26 -> 16);;;26;16;;;;;;;;;;16531.928629423102;17328.536447327006;796.6078179039032;0.0003442810489927019;0.7739011746023821;False;RejectedWorseCandidate;16531.928629423102;16531.928629423102;False;3;64;True;0.707283;5e-05;0.0;1.345207;0.000139;1.3467;Evaluated;;
3;1576713022;99.8001;99.7002999;swap_blocks;swap_blocks(40 .. 43, 4 .. 7);;;;;;;;;;40;43;4;7;16531.928629423102;18403.611472465953;1871.6828430428504;7.163133495055266e-09;0.3268778077689172;False;RejectedWorseCandidate;16531.928629423102;16531.928629423102;False;4;64;True;0.638292;7.9e-05;0.0;1.9835;0.000218;1.9866;Evaluated;;
4;1576713022;99.7002999;99.60059960010001;move;move(13 -> 6);;;13;6;;;;;;;;;;16531.928629423102;17023.385250569845;491.4566211467427;0.007231278348751739;0.7230396319102785;False;RejectedWorseCandidate;16531.928629423102;16531.928629423102;False;5;64;True;0.651038;9e-05;0.0;2.634538;0.000308;2.6396;Evaluated;;
5;1576713022;99.60059960010001;99.50099900049992;swap;swap(19, 53);19;53;;;;;;;;;;;;16531.928629423102;16531.928629423102;0.0;1.0;;True;ImprovedOrEqualCurrentSolution;16531.928629423102;16531.928629423102;False;6;64;True;0.651247;0.000119;0.0;3.285785;0.000427;3.294;Evaluated;;
6;1576713022;99.50099900049992;99.40149800149942;swap_blocks;swap_blocks(42 .. 49, 4 .. 11);;;;;;;;;;42;49;4;11;16531.928629423102;17580.32539933364;1048.3967699105378;2.654829144262701e-05;0.8673320556047471;False;RejectedWorseCandidate;16531.928629423102;16531.928629423102;False;7;64;True;0.654508;9.5e-05;0.0;3.940292;0.000522;3.9508;Evaluated;;
7;1576713022;99.40149800149942;99.30209650349792;move;move(39 -> 24);;;39;24;;;;;;;;;;16531.928629423102;16073.288824824518;-458.6398045985843;1.0;;True;ImprovedOrEqualCurrentSolution;16073.288824824518;16073.288824824518;True;8;64;True;0.654023;9.5e-05;0.0;4.594316;0.000617;4.6074;Evaluated;;
8;1576713022;99.30209650349792;99.20279440699443;reverse;reverse(32 .. 46);;;;;32;46;;;;;;;;16073.288824824518;16024.112147978465;-49.17667684605294;1.0;;True;ImprovedOrEqualCurrentSolution;16024.112147978465;16024.112147978465;True;9;64;True;0.658036;0.000109;0.0;5.252351;0.000726;5.2679;Evaluated;;
9;1576713022;99.20279440699443;99.10359161258744;move;move(34 -> 33);;;34;33;;;;;;;;;;16024.112147978465;15984.243800588381;-39.86834739008373;1.0;;True;ImprovedOrEqualCurrentSolution;15984.243800588381;15984.243800588381;True;10;64;True;0.667602;9.5e-05;0.0;5.919953;0.000821;5.9379;Evaluated;;
10;1576713022;99.10359161258744;99.00448802097485;reinsert_block;reinsert_block(36 .. 44 -> 13);;;;;;;36;44;13;;;;;15984.243800588381;17515.235527944595;1530.9917273562132;1.9536465305159115e-07;0.8101833137066293;False;RejectedWorseCandidate;15984.243800588381;15984.243800588381;False;11;64;True;0.672475;0.000102;0.0;6.592428;0.000923;6.6128;Evaluated;;
11;1576713022;99.00448802097485;98.90548353295387;swap;swap(5, 3);5;3;;;;;;;;;;;;15984.243800588381;17898.204936305698;1913.9611357173162;4.019676646248403e-09;0.22221328002461715;False;RejectedWorseCandidate;15984.243800588381;15984.243800588381;False;12;64;True;0.649896;0.000332;0.0;7.242324;0.001256;7.2655;Evaluated;;
12;1576713022;98.90548353295387;98.8065780494209;reinsert_block;reinsert_block(11 .. 19 -> 10);;;;;;;11;19;10;;;;;15984.243800588381;17767.937850464234;1783.6940498758522;1.4716019103037935e-08;0.240852449790795;False;RejectedWorseCandidate;15984.243800588381;15984.243800588381;False;13;64;True;0.65757;9.9e-05;0.0;7.899894;0.001355;7.9257;Evaluated;;
13;1576713022;98.8065780494209;98.70777147137149;reinsert_block;reinsert_block(21 .. 27 -> 9);;;;;;;21;27;9;;;;;15984.243800588381;18179.371577276495;2195.127776688114;2.246644140823542e-10;0.6226462897069653;False;RejectedWorseCandidate;15984.243800588381;15984.243800588381;False;14;64;True;0.653298;0.000122;0.0;8.553192;0.001476;8.5813;Evaluated;;
14;1576713022;98.70777147137149;98.60906369990012;reinsert_block;reinsert_block(30 .. 34 -> 45);;;;;;;30;34;45;;;;;15984.243800588381;16391.17922373382;406.9354231454381;0.016201879795990533;0.35312237409549185;False;RejectedWorseCandidate;15984.243800588381;15984.243800588381;False;15;64;True;0.652727;9.7e-05;0.0;9.205919;0.001573;9.2363;Evaluated;;
15;1576713022;98.60906369990012;98.51045463620022;move;move(62 -> 16);;;62;16;;;;;;;;;;15984.243800588381;15532.955323388695;-451.2884771996869;1.0;;True;ImprovedOrEqualCurrentSolution;15532.955323388695;15532.955323388695;True;16;64;True;0.656756;9.3e-05;0.0;9.862675;0.001666;9.8954;Evaluated;;
16;1576713022;98.51045463620022;98.41194418156402;swap_blocks;swap_blocks(3 .. 10, 48 .. 55);;;;;;;;;;3;10;48;55;15532.955323388695;16441.94804099092;908.9927176022247;9.831115245458085e-05;0.20925377063641226;False;RejectedWorseCandidate;15532.955323388695;15532.955323388695;False;17;64;True;0.679898;0.000126;0.0;10.542573;0.001792;10.5775;Evaluated;;
17;1576713022;98.41194418156402;98.31353223738246;reverse;reverse(14 .. 24);;;;;14;24;;;;;;;;15532.955323388695;17125.7938998565;1592.838576467806;9.348926155506681e-08;0.4754941136971068;False;RejectedWorseCandidate;15532.955323388695;15532.955323388695;False;18;64;True;0.649738;0.000113;0.0;11.192311;0.001905;11.2296;Evaluated;;
18;1576713022;98.31353223738246;98.21521870514508;reinsert_block;reinsert_block(51 .. 54 -> 59);;;;;;;51;54;59;;;;;15532.955323388695;16489.54477157917;956.5894481904761;5.947303235739637e-05;0.2596467124343086;False;RejectedWorseCandidate;15532.955323388695;15532.955323388695;False;19;64;True;0.653043;0.000109;0.0;11.845354;0.002014;11.8855;Evaluated;;
19;1576713022;98.21521870514508;98.11700348643993;move;move(48 -> 34);;;48;34;;;;;;;;;;15532.955323388695;16043.890100418033;510.9347770293389;0.005504465627011878;0.6768573736050071;False;RejectedWorseCandidate;15532.955323388695;15532.955323388695;False;20;64;True;0.654416;9e-05;0.0;12.499769;0.002104;12.5422;Evaluated;;
