evaluation;random_seed;temperature_before;temperature_after;action;move_text;swap_i;swap_j;move_from;move_to;reverse_start;reverse_end;reinsert_block_start;reinsert_block_end;reinsert_block_to;swap_blocks_start1;swap_blocks_end1;swap_blocks_start2;swap_blocks_end2;current_makespan_before;candidate_makespan;delta_vs_current;acceptance_probability;acceptance_random_draw;accepted;acceptance_reason;current_makespan_after;global_best_makespan_after;new_global_best;completed_simulations;exited_parts;completion_valid;simulation_time_sec;sa_decision_time_sec;inference_time_sec;cumulative_simulation_time_sec;cumulative_sa_decision_time_sec;elapsed_optimization_time_sec;status;error_message;final_best_sequence
1;4258309688;100.0;99.9;reverse;reverse(19 .. 60);;;;;19;60;;;;;;;;16641.404845676683;16972.185978113353;330.7811324366703;0.036596183339032175;0.7933599004666292;False;RejectedWorseCandidate;16641.404845676683;16641.404845676683;False;2;64;True;0.631538;0.000117;0.0;0.631538;0.000117;0.632;Evaluated;;
2;4258309688;99.9;99.8001;swap;swap(40, 36);40;36;;;;;;;;;;;;16641.404845676683;16177.046786018167;-464.35805965851614;1.0;;True;ImprovedOrEqualCurrentSolution;16177.046786018167;16177.046786018167;True;3;64;True;0.677664;5e-05;0.0;1.309202;0.000167;1.3106;Evaluated;;
3;4258309688;99.8001;99.7002999;reinsert_block;reinsert_block(49 .. 57 -> 38);;;;;;;49;57;38;;;;;16177.046786018167;16430.563794476453;253.517008458286;0.07884684016197947;0.05127922084163816;True;AcceptedWorseByTemperature;16430.563794476453;16177.046786018167;False;4;64;True;0.629886;3e-05;0.0;1.939088;0.000197;1.941;Evaluated;;
4;4258309688;99.7002999;99.60059960010001;move;move(56 -> 41);;;56;41;;;;;;;;;;16430.563794476453;16428.04303119512;-2.52076328133262;1.0;;True;ImprovedOrEqualCurrentSolution;16428.04303119512;16177.046786018167;False;5;64;True;0.629023;3.6e-05;0.0;2.568111;0.000233;2.5713;Evaluated;;
5;4258309688;99.60059960010001;99.50099900049992;move;move(61 -> 15);;;61;15;;;;;;;;;;16428.04303119512;16730.529665268485;302.48663407336426;0.04797879601492959;0.4914703281161462;False;RejectedWorseCandidate;16428.04303119512;16177.046786018167;False;6;64;True;0.653035;0.000102;0.0;3.221146;0.000335;3.2269;Evaluated;;
6;4258309688;99.50099900049992;99.40149800149942;move;move(29 -> 41);;;29;41;;;;;;;;;;16428.04303119512;16419.64471569952;-8.3983154956004;1.0;;True;ImprovedOrEqualCurrentSolution;16419.64471569952;16177.046786018167;False;7;64;True;0.829551;0.000112;0.0;4.050697;0.000447;4.0587;Evaluated;;
7;4258309688;99.40149800149942;99.30209650349792;reinsert_block;reinsert_block(29 .. 37 -> 2);;;;;;;29;37;2;;;;;16419.64471569952;18748.38008870954;2328.7353730100185;6.691699173716523e-11;0.3503998120940557;False;RejectedWorseCandidate;16419.64471569952;16177.046786018167;False;8;64;True;0.650893;0.000104;0.0;4.70159;0.00055;4.7116;Evaluated;;
8;4258309688;99.30209650349792;99.20279440699443;reverse;reverse(3 .. 50);;;;;3;50;;;;;;;;16419.64471569952;18023.883409389517;1604.2386936899966;9.636390034344377e-08;0.7542608955020452;False;RejectedWorseCandidate;16419.64471569952;16177.046786018167;False;9;64;True;0.648508;4.8e-05;0.0;5.350098;0.000598;5.3615;Evaluated;;
9;4258309688;99.20279440699443;99.10359161258744;swap_blocks;swap_blocks(54 .. 60, 10 .. 16);;;;;;;;;;54;60;10;16;16419.64471569952;17994.442711956268;1574.7979962567479;1.2757867236082088e-07;0.9990021269884177;False;RejectedWorseCandidate;16419.64471569952;16177.046786018167;False;10;64;True;0.650077;8.8e-05;0.0;6.000175;0.000686;6.0139;Evaluated;;
10;4258309688;99.10359161258744;99.00448802097485;swap;swap(29, 51);29;51;;;;;;;;;;;;16419.64471569952;16578.149935320944;158.50521962142375;0.20201986281469814;0.07464618277670987;True;AcceptedWorseByTemperature;16578.149935320944;16177.046786018167;False;11;64;True;0.653386;0.000127;0.0;6.653561;0.000813;6.6691;Evaluated;;
