evaluation;random_seed;temperature_before;temperature_after;action;move_text;swap_i;swap_j;move_from;move_to;reverse_start;reverse_end;reinsert_block_start;reinsert_block_end;reinsert_block_to;swap_blocks_start1;swap_blocks_end1;swap_blocks_start2;swap_blocks_end2;current_makespan_before;candidate_makespan;delta_vs_current;acceptance_probability;acceptance_random_draw;accepted;acceptance_reason;current_makespan_after;global_best_makespan_after;new_global_best;completed_simulations;exited_parts;completion_valid;simulation_time_sec;sa_decision_time_sec;inference_time_sec;cumulative_simulation_time_sec;cumulative_sa_decision_time_sec;elapsed_optimization_time_sec;status;error_message;final_best_sequence
1;676114771;100.0;99.9;move;move(16 -> 50);;;16;50;;;;;;;;;;16625.423888583944;17094.65402506869;469.23013648474443;0.009165568548640481;0.14975600664725497;False;RejectedWorseCandidate;16625.423888583944;16625.423888583944;False;2;64;True;0.639444;0.000117;0.0;0.639444;0.000117;0.6403;Evaluated;;
2;676114771;99.9;99.8001;reverse;reverse(20 .. 41);;;;;20;41;;;;;;;;16625.423888583944;16829.536289107866;204.11240052392168;0.12961753900242792;0.3867546418079095;False;RejectedWorseCandidate;16625.423888583944;16625.423888583944;False;3;64;True;0.634899;0.000127;0.0;1.274342;0.000244;1.2771;Evaluated;;
3;676114771;99.8001;99.7002999;reverse;reverse(5 .. 41);;;;;5;41;;;;;;;;16625.423888583944;17756.35835032057;1130.934461736626;1.1983291182469751e-05;0.4032973146223642;False;RejectedWorseCandidate;16625.423888583944;16625.423888583944;False;4;64;True;0.631955;8.5e-05;0.0;1.906297;0.000328;1.9105;Evaluated;;
4;676114771;99.7002999;99.60059960010001;reverse;reverse(33 .. 47);;;;;33;47;;;;;;;;16625.423888583944;16097.33325009682;-528.0906384871232;1.0;;True;ImprovedOrEqualCurrentSolution;16097.33325009682;16097.33325009682;True;5;64;True;0.630227;3.5e-05;0.0;2.536525;0.000363;2.5417;Evaluated;;
5;676114771;99.60059960010001;99.50099900049992;swap;swap(3, 43);3;43;;;;;;;;;;;;16097.33325009682;17301.55129364553;1204.2180435487098;5.612749675352519e-06;0.8857838943050644;False;RejectedWorseCandidate;16097.33325009682;16097.33325009682;False;6;64;True;0.652096;5.8e-05;0.0;3.188621;0.000422;3.196;Evaluated;;
6;676114771;99.50099900049992;99.40149800149942;move;move(29 -> 18);;;29;18;;;;;;;;;;16097.33325009682;16583.555347158013;486.22209706119247;0.0075469997462786174;0.22700815376313488;False;RejectedWorseCandidate;16097.33325009682;16097.33325009682;False;7;64;True;0.651988;0.00012;0.0;3.840608;0.000542;3.85;Evaluated;;
7;676114771;99.40149800149942;99.30209650349792;reinsert_block;reinsert_block(4 .. 11 -> 36);;;;;;;4;11;36;;;;;16097.33325009682;17031.638254549074;934.3050044522533;8.278157270354272e-05;0.26118851361845563;False;RejectedWorseCandidate;16097.33325009682;16097.33325009682;False;8;64;True;0.649967;3.6e-05;0.0;4.490575;0.000577;4.5015;Evaluated;;
8;676114771;99.30209650349792;99.20279440699443;reverse;reverse(22 .. 37);;;;;22;37;;;;;;;;16097.33325009682;17089.396069494767;992.0628193979464;4.5840104570801604e-05;0.9389446013906392;False;RejectedWorseCandidate;16097.33325009682;16097.33325009682;False;9;64;True;0.659033;0.00012;0.0;5.149609;0.000697;5.1627;Evaluated;;
9;676114771;99.20279440699443;99.10359161258744;swap;swap(2, 46);2;46;;;;;;;;;;;;16097.33325009682;16097.33325009682;0.0;1.0;;True;ImprovedOrEqualCurrentSolution;16097.33325009682;16097.33325009682;False;10;64;True;0.656198;9.4e-05;0.0;5.805807;0.000791;5.8205;Evaluated;;
10;676114771;99.10359161258744;99.00448802097485;swap;swap(56, 17);56;17;;;;;;;;;;;;16097.33325009682;16734.008619016793;636.6753689199722;0.0016215998910833538;0.863527430653722;False;RejectedWorseCandidate;16097.33325009682;16097.33325009682;False;11;64;True;0.644501;2.7e-05;0.0;6.450308;0.000819;6.4662;Evaluated;;
11;676114771;99.00448802097485;98.90548353295387;reinsert_block;reinsert_block(44 .. 52 -> 0);;;;;;;44;52;0;;;;;16097.33325009682;19308.238694270804;3210.9054441739827;8.222368643846508e-15;0.7600132701086858;False;RejectedWorseCandidate;16097.33325009682;16097.33325009682;False;12;64;True;0.649886;8.6e-05;0.0;7.100194;0.000905;7.1181;Evaluated;;
12;676114771;98.90548353295387;98.8065780494209;swap;swap(19, 37);19;37;;;;;;;;;;;;16097.33325009682;16097.33325009682;0.0;1.0;;True;ImprovedOrEqualCurrentSolution;16097.33325009682;16097.33325009682;False;13;64;True;0.659835;8.9e-05;0.0;7.760029;0.000994;7.7801;Evaluated;;
13;676114771;98.8065780494209;98.70777147137149;move;move(16 -> 47);;;16;47;;;;;;;;;;16097.33325009682;17245.3810980451;1148.0478479482808;8.992282098208472e-06;0.12295928299232228;False;RejectedWorseCandidate;16097.33325009682;16097.33325009682;False;14;64;True;0.654006;9.8e-05;0.0;8.414034;0.001092;8.4357;Evaluated;;
14;676114771;98.70777147137149;98.60906369990012;swap;swap(51, 45);51;45;;;;;;;;;;;;16097.33325009682;16097.33325009682;0.0;1.0;;True;ImprovedOrEqualCurrentSolution;16097.33325009682;16097.33325009682;False;15;64;True;0.643371;2.9e-05;0.0;9.057405;0.001121;9.0796;Evaluated;;
15;676114771;98.60906369990012;98.51045463620022;reverse;reverse(6 .. 39);;;;;6;39;;;;;;;;16097.33325009682;17333.094627935658;1235.7613778388368;3.609559300434219e-06;0.7576420211029378;False;RejectedWorseCandidate;16097.33325009682;16097.33325009682;False;16;64;True;0.642636;3.3e-05;0.0;9.700041;0.001154;9.7234;Evaluated;;
16;676114771;98.51045463620022;98.41194418156402;reverse;reverse(17 .. 33);;;;;17;33;;;;;;;;16097.33325009682;16555.466811618637;458.13356152181586;0.009555785091968746;0.5688066406287138;False;RejectedWorseCandidate;16097.33325009682;16097.33325009682;False;17;64;True;0.654905;0.000105;0.0;10.354946;0.001259;10.38;Evaluated;;
17;676114771;98.41194418156402;98.31353223738246;move;move(24 -> 7);;;24;7;;;;;;;;;;16097.33325009682;16907.31543699702;809.9821869002008;0.0002663958398347768;0.5618899678603037;False;RejectedWorseCandidate;16097.33325009682;16097.33325009682;False;18;64;True;0.648539;4.3e-05;0.0;11.003485;0.001302;11.0302;Evaluated;;
18;676114771;98.31353223738246;98.21521870514508;swap;swap(51, 20);51;20;;;;;;;;;;;;16097.33325009682;16281.369241705048;184.03599160822705;0.1538265820013293;0.8777640830817198;False;RejectedWorseCandidate;16097.33325009682;16097.33325009682;False;19;64;True;0.650955;0.00012;0.0;11.65444;0.001423;11.6834;Evaluated;;
19;676114771;98.21521870514508;98.11700348643993;move;move(46 -> 29);;;46;29;;;;;;;;;;16097.33325009682;16859.00809115491;761.6748410580876;0.0004285251730130764;0.3832462985429369;False;RejectedWorseCandidate;16097.33325009682;16097.33325009682;False;20;64;True;0.650333;9.2e-05;0.0;12.304773;0.001514;12.3393;Evaluated;;
20;676114771;98.11700348643993;98.01888648295349;move;move(39 -> 35);;;39;35;;;;;;;;;;16097.33325009682;16108.315574516046;10.982324419224824;0.8941060388796088;0.2785480396469069;True;AcceptedWorseByTemperature;16108.315574516046;16097.33325009682;False;21;64;True;0.632009;0.000102;0.0;12.936782;0.001616;12.9735;Evaluated;;
21;676114771;98.01888648295349;97.92086759647054;reinsert_block;reinsert_block(49 .. 57 -> 58);;;;;;;49;57;58;;;;;16108.315574516046;16000.458981615968;-107.85659290007789;1.0;;True;ImprovedOrEqualCurrentSolution;16000.458981615968;16000.458981615968;True;22;64;True;0.632218;9.1e-05;0.0;13.569;0.001707;13.6075;Evaluated;;
22;676114771;97.92086759647054;97.82294672887407;move;move(4 -> 29);;;4;29;;;;;;;;;;16000.458981615968;16371.422376077886;370.96339446191814;0.022631788453059055;0.6230130620355189;False;RejectedWorseCandidate;16000.458981615968;16000.458981615968;False;23;64;True;0.631441;5e-05;0.0;14.200441;0.001757;14.2398;Evaluated;;
