evaluation;random_seed;temperature_before;temperature_after;action;move_text;swap_i;swap_j;move_from;move_to;reverse_start;reverse_end;reinsert_block_start;reinsert_block_end;reinsert_block_to;swap_blocks_start1;swap_blocks_end1;swap_blocks_start2;swap_blocks_end2;current_makespan_before;candidate_makespan;delta_vs_current;acceptance_probability;acceptance_random_draw;accepted;acceptance_reason;current_makespan_after;global_best_makespan_after;new_global_best;completed_simulations;exited_parts;completion_valid;simulation_time_sec;sa_decision_time_sec;inference_time_sec;cumulative_simulation_time_sec;cumulative_sa_decision_time_sec;elapsed_optimization_time_sec;status;error_message;final_best_sequence
1;2216006584;100.0;99.9;reverse;reverse(4 .. 41);;;;;4;41;;;;;;;;16625.423888583944;17778.493141032086;1153.069252448142;9.823898440779907e-06;0.1121005047536009;False;RejectedWorseCandidate;16625.423888583944;16625.423888583944;False;2;64;True;0.634103;0.000132;0.0;0.634103;0.000132;0.6344;Evaluated;;
2;2216006584;99.9;99.8001;reverse;reverse(11 .. 23);;;;;11;23;;;;;;;;16625.423888583944;17304.27572072717;678.8518321432275;0.0011190069541422312;0.4158909866701993;False;RejectedWorseCandidate;16625.423888583944;16625.423888583944;False;3;64;True;0.674673;4.2e-05;0.0;1.308776;0.000174;1.3098;Evaluated;;
3;2216006584;99.8001;99.7002999;reinsert_block;reinsert_block(8 .. 11 -> 41);;;;;;;8;11;41;;;;;16625.423888583944;18056.736105294305;1431.312216710361;5.907981556202363e-07;0.8255152414194028;False;RejectedWorseCandidate;16625.423888583944;16625.423888583944;False;4;64;True;0.630598;3.5e-05;0.0;1.939375;0.000209;1.9417;Evaluated;;
4;2216006584;99.7002999;99.60059960010001;move;move(16 -> 47);;;16;47;;;;;;;;;;16625.423888583944;17549.45338477377;924.0294961898253;9.439038148097201e-05;0.6937544266103474;False;RejectedWorseCandidate;16625.423888583944;16625.423888583944;False;5;64;True;0.63504;0.000176;0.0;2.574415;0.000384;2.579;Evaluated;;
5;2216006584;99.60059960010001;99.50099900049992;reverse;reverse(6 .. 13);;;;;6;13;;;;;;;;16625.423888583944;18528.93264904658;1903.508760462635;5.012060708832348e-09;0.616892213466837;False;RejectedWorseCandidate;16625.423888583944;16625.423888583944;False;6;64;True;0.653246;0.000103;0.0;3.227661;0.000487;3.2345;Evaluated;;
6;2216006584;99.50099900049992;99.40149800149942;swap;swap(54, 50);54;50;;;;;;;;;;;;16625.423888583944;16166.854353437062;-458.5695351468821;1.0;;True;ImprovedOrEqualCurrentSolution;16166.854353437062;16166.854353437062;True;7;64;True;0.648076;0.000103;0.0;3.875737;0.00059;3.8859;Evaluated;;
7;2216006584;99.40149800149942;99.30209650349792;move;move(33 -> 47);;;33;47;;;;;;;;;;16166.854353437062;16156.490158495393;-10.364194941668757;1.0;;True;ImprovedOrEqualCurrentSolution;16156.490158495393;16156.490158495393;True;8;64;True;0.670399;9.9e-05;0.0;4.546136;0.000689;4.5594;Evaluated;;
8;2216006584;99.30209650349792;99.20279440699443;reverse;reverse(19 .. 44);;;;;19;44;;;;;;;;16156.490158495393;17045.982472044696;889.4923135493027;0.00012877583165452658;0.7940264299247911;False;RejectedWorseCandidate;16156.490158495393;16156.490158495393;False;9;64;True;0.665593;0.000105;0.0;5.211729;0.000794;5.2278;Evaluated;;
9;2216006584;99.20279440699443;99.10359161258744;swap;swap(23, 43);23;43;;;;;;;;;;;;16156.490158495393;16600.589792325183;444.09963382979004;0.011371048953152725;0.6738029139262363;False;RejectedWorseCandidate;16156.490158495393;16156.490158495393;False;10;64;True;0.654109;0.000106;0.0;5.865838;0.0009;5.8847;Evaluated;;
10;2216006584;99.10359161258744;99.00448802097485;swap;swap(40, 52);40;52;;;;;;;;;;;;16156.490158495393;16340.455817983779;183.96565948838543;0.15625021830088792;0.09584490689104253;True;AcceptedWorseByTemperature;16340.455817983779;16156.490158495393;False;11;64;True;0.650637;8.4e-05;0.0;6.516475;0.000984;6.5368;Evaluated;;
